h3_9,host_seed_tile_id,host_seed_index,host_tile_path_id,center_lat,center_lon
89194ad2117ffff,88194ad211fffff,365,365,51.480616973998686,0.032604114334174324
89194ad211bffff,88194ad211fffff,365,365,51.48292562931121,0.025048436842435413
89194ad1c63ffff,88194ad1c7fffff,366,366,51.43214244929344,-0.09995729198639124
89194ad1c67ffff,88194ad1c7fffff,366,366,51.42962735663302,-0.09700435284661367
89194ad1c6bffff,88194ad1c7fffff,366,366,51.43192834350878,-0.10456696770838866
89194ad1c6fffff,88194ad1c7fffff,366,366,51.42941331471333,-0.1016137198960733
89194ad1c73ffff,88194ad1c7fffff,366,366,51.4348714557764,-0.09830072975684898
89194ad1c77ffff,88194ad1c7fffff,366,366,51.432356365406214,-0.09534776474467685
89194ad1c7bffff,88194ad1c7fffff,366,366,51.43465747579832,-0.10291056570686892
89194ada003ffff,88194ada01fffff,367,367,51.487589404011686,-0.21876002445583378
89194ada007ffff,88194ada01fffff,367,367,51.485076550201136,-0.21579598125335392
89194ada00bffff,88194ada01fffff,367,367,51.487371729622986,-0.22337842874569802
89194ada00fffff,88194ada01fffff,367,367,51.48485894045528,-0.22041407672966742
89194ada013ffff,88194ada01fffff,367,367,51.49031973934479,-0.2171058376579239
89194ada017ffff,88194ada01fffff,367,367,51.48780688799972,-0.21414176760423367
89194ada01bffff,88194ada01fffff,367,367,51.490102190713564,-0.22172440335901106
89194ada023ffff,88194ada03fffff,368,368,51.479833160846574,-0.2144863796818646
89194ada027ffff,88194ada03fffff,368,368,51.477320170466555,-0.2115230345678037
89194ada02bffff,88194ada03fffff,368,368,51.47961548996565,-0.2191040050240988
89194ada02fffff,88194ada03fffff,368,368,51.477102564182076,-0.21614035116362312
89194ada033ffff,88194ada03fffff,368,368,51.48256362931234,-0.2128322737103938
89194ada037ffff,88194ada03fffff,368,368,51.48005064137578,-0.2098689017857836
89194ada03bffff,88194ada03fffff,368,368,51.48234608418631,-0.2174500603887749
89194ada0c3ffff,88194ada0dfffff,369,369,51.495345240655965,-0.22303498498526236
89194ada0c7ffff,88194ada0dfffff,369,369,51.49283252357373,-0.22007024343789694
89194ada0cbffff,88194ada0dfffff,369,369,51.4951275626692,-0.2276541684320986
89194ada0cfffff,88194ada0dfffff,369,369,51.49261491027623,-0.2246891180040453
89194ada0d3ffff,88194ada0dfffff,369,369,51.4980754427877,-0.22138071740796866
89194ada0d7ffff,88194ada0dfffff,369,369,51.495562728192894,-0.21841594896864558
89194ada0dbffff,88194ada0dfffff,369,369,51.497857890561086,-0.22600006234121442
89194adadc3ffff,88194adaddfffff,370,370,51.442564121666564,-0.160845868904419
89194adadc7ffff,88194adaddfffff,370,370,51.44005000090411,-0.15788816982997553
89194adadcbffff,88194adaddfffff,370,370,51.442347797321474,-0.16545856914167995
89194adadcfffff,88194adaddfffff,370,370,51.4398337407652,-0.16250056151549086
89194adadd3ffff,88194adaddfffff,370,370,51.44529437446907,-0.15919104195298778
89194adadd7ffff,88194adaddfffff,370,370,51.44278025603743,-0.1562333165217029
89194adaddbffff,88194adaddfffff,370,370,51.445078175891716,-0.16380390292327515
89194ad2503ffff,88194ad251fffff,371,371,51.499475844404124,0.039633759520479935
89194ad2507ffff,88194ad251fffff,371,371,51.49695940677126,0.04258047718228273
89194ad250bffff,88194ad251fffff,371,371,51.49926880325807,0.03502369300181045
89194ad250fffff,88194ad251fffff,371,371,51.496752428998306,0.03797072059193356
89194ad2513ffff,88194ad251fffff,371,371,51.50219913139886,0.04129693314778533
89194ad2517ffff,88194ad251fffff,371,371,51.499682696213554,0.04424367565300761
89194ad251bffff,88194ad251fffff,371,371,51.50199221621604,0.03668670705115745
89194ad0103ffff,88194ad011fffff,372,372,51.440785395787636,-0.027511945326063186
89194ad0107ffff,88194ad011fffff,372,372,51.43826935244819,-0.024563587988571535
89194ad010bffff,88194ad011fffff,372,372,51.44057438481593,-0.032119707816075115
89194ad010fffff,88194ad011fffff,372,372,51.43805840500243,-0.029171041438111493
89194ad0113ffff,88194ad011fffff,372,372,51.443512258404404,-0.025852714820917687
89194ad0117ffff,88194ad011fffff,372,372,51.44099621736487,-0.022904332167975452
89194ad011bffff,88194ad011fffff,372,372,51.443301373300955,-0.030460637055225226
89194ad1c23ffff,88194ad1c3fffff,373,373,51.43005487154376,-0.08778606430075114
